opponent,mine,index
start,e2e4,19
e7e5,g1f3,28
g8f6,c2c3,26
g7g6,f1c4,27
f8g7,d2d4,33
c7c6,c1g5,42
d7d5,e4d5,42
c6d5,c4d5,41
d8d5,f3e5,35
d5g2,h1f1,40
g2g5,d1f3,32
c8f5,f3b7,36
g5c1,e1e2,0
c1c2,e2f3,3
f5e4,f3g3,3
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
f8c5,d2d4,27
c5b6,d4d5,36
c6a5,f1c4,37
g8f6,e1g1,40
a5c4,b2b3,31
c4d6,b1d2,30
d6e4,f3e5,24
e4c3,d1f3,30
c3d5,d2c4,36
e8g8,c1f4,44
d7d6,e5d3,45
c8g4,f3g3,44
b6d4,a1e1,39
d8d7,h2h3,41
g4f5,d3c1,44
f6h5,g3h4,39
h5g3,h4g3,37
d7d8,f4e3,39
d8f6,e3d4,33
f6d4,e1d1,36
d4b2,d1d5,36
f8e8,d5f5,42
d2d4,g7g6,19
c1f4,d7d6,20
e2e3,g8f6,27
f1d3,f8g7,30
h2h3,e8g8,33
g1f3,b8a6,31
e1g1,c7c5,30
c2c3,f6d5,33
a2a3,e7e5,38
d4e5,d6e5,40
f3e5,f8e8,40
e5f7,g8f7,46
f4h2,a6c7,51
c3c4,d5b6,49
d1f3,f7g8,5
b1c3,c7e6,41
f3g4,e6d4,37
g4g3,g7e5,44
f2f4,d4b3,44
d3g6,b3a1,46
g6e8,g8h8,4
f1a1,e5c3,34
b2c3,d8e8,26
f4f5,c8f5,26
g3c7,e8e3,39
g1h1,e3c3,45
h2e5,h8g8,1
e5c3,b6c4,24
start,e2e4,19
d7d5,b1c3,30
d5d4,c3d5,30
c7c6,d5f4,35
g7g6,f1c4,33
f8g7,g1f3,37
c8g4,e1g1,37
g8f6,d2d3,34
e8g8,h2h3,34
g4h5,g2g4,35
f6g4,h3g4,35
h5g4,d1e2,35
d8c7,g1g2,36
g7h6,f4h3,39
c7d7,f1h1,40
h6c1,a1c1,39
c6c5,e2d2,42
b7b5,c4b3,45
b8c6,c2c4,44
c6a5,c4b5,44
a5b3,a2b3,44
d7b5,d2g5,41
g4f3,g2f3,4
b5d3,f3g2,3
d3e4,g2h2,4
f7f6,g5c5,36
e4e5,c5e5,4
f6e5,f2f4,25
e5f4,c1c7,23
f8e8,h3f4,24
a8b8,f4d5,30
b8b3,c7a7,26
b3b2,h2g3,2
b2b3,g3f4,7
e8f8,f4e4,4
e7e6,d5e7,36
g8h8,e7g6,30
h8g8,g6f8,34
g8f8,h1h7,29
b3e3,e4d4,1
e6e5,d4e3,3
f8g8,h7c7,31
g8f8,c7c8,26
d2d4,g7g5,19
c1g5,h7h6,19
g5f4,d7d6,17
e2e3,g8f6,24
c2c4,f8g7,29
h2h3,e8g8,32
f1d3,b8c6,29
g1f3,f6h7,30
e1g1,d8e8,30
b1c3,e7e5,30
d4e5,d6e5,32
f3e5,g7e5,30
f4h6,e5c3,33
d1g4,c3g7,3
e2e4,g7g6,19
g1f3,d7d6,20
b1c3,g8f6,27
h2h3,f8g7,30
d2d4,e8g8,33
c3d5,f6e4,30
d1e2,f7f5,36
g2g4,b8c6,36
g4f5,c8f5,38
h3h4,g7d4,41
f3d4,c6d4,37
e2c4,d4f3,41
e1e2,f3e5,42
c4b3,e4c5,40
b3c3,c7c6,42
d5e3,h7h5,44
e3f5,f8f5,36
f1h3,e7e6,41
c1g5,f5g5,41
h4g5,d8g5,35
h1g1,g5f4,41
a1d1,f4e4,48
c3e3,e4c2,42
e3d2,c2e4,40
d2e3,e4e3,43
e2e3,d6d5,28
h3e6,c5e6,5
f2f4,e5c4,31
e3f3,c4b2,33
d1d2,b2c4,29
d2c2,a8f8,33
g1g6,g8h7,3
g6e6,h5h4,28
e6e7,h7h6,4
e7b7,h6h5,25
b7a7,h4h3,23
a7c7,f8g8,24
c7c6,h5h4,24
c6c5,g8g3,24
f3f2,h3h2,24
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
f8c5,d2d4,27
e5d4,c3d4,38
c5b4,b1c3,5
b4c3,b2c3,4
g8f6,c1g5,35
h7h6,g5e3,37
d7d5,e4e5,36
f6g4,h2h3,33
g4e3,f2e3,31
e8g8,f1d3,32
c8e6,e1g1,39
d8d7,e3e4,36
d5e4,d3e4,33
e6h3,d4d5,36
d7g4,d1e2,35
c6e5,f3d4,40
g4e2,d4e2,37
e5d3,g2h3,31
d3c5,e4g2,35
f8e8,e2f4,28
c5e4,a1e1,24
e4g3,e1e8,27
a8e8,f1d1,21
g3e2,g1h1,4
e2f4,d5d6,18
f4g2,h1g2,18
e8d8,d6c7,23
d8c8,d1d8,24
c8d8,c7d8q,18
g8h7,d8c7,31
b7b6,c7a7,27
b6b5,a7f7,27
b5b4,c3b4,32
g1f3,g7g6,19
d2d4,g8f6,20
g2g3,f8g7,22
f1g2,e8g8,25
e1g1,d7d6,24
c2c4,b8c6,31
c1e3,e7e5,32
d4d5,c6e7,31
b1d2,c7c5,30
d1c2,c8f5,31
c2b3,f6g4,38
e3g5,h7h6,36
g5h4,g6g5,35
f3g5,h6g5,37
h4g5,f7f6,38
g5h4,g7h6,37
e2e4,f5h7,36
h2h3,h6d2,34
h3g4,f6f5,35
b3b7,f5g4,33
h4e7,d8e8,33
e7f8,e8f8,31
a1d1,a8b8,31
b7a7,b8b2,34
a7a3,f8b8,37
a3d3,b8b4,35
a2a3,b4a5,27
d1d2,b2d2,28
f1d1,d2a2,24
f2f3,a2a3,28
d3d2,g4f3,26
d2g5,g8f8,3
g5h6,f8g8,3
h6e6,g8f8,2
e6d6,f8e8,3
d6e5,e8d7,3
g2h3,d7d8,1
e5d6,d8e8,0
d6d7,e8f8,0
d7d6,f8e8,3
h3d7,e8f7,1
d6e6,f7g7,1
e6e5,g7g6,4
d7f5,g6g5,3
e5g7,g5h5,1
g7h7,h5g5,0
start,e2e4,19
e7e5,g1f3,28
f8d6,c2c3,26
g8f6,d2d4,27
f6e4,f1d3,35
e4f2,e1f2,44
e5d4,c3d4,48
e8g8,h1e1,48
d8f6,f2g1,45
d6b4,b1c3,45
b4c3,b2c3,46
d7d5,c1g5,45
f6c6,d1c2,49
c8g4,g5e7,52
f8c8,d3h7,51
g8h8,f3e5,51
c6b6,e5f7,53
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
f8c5,d2d4,27
c5b6,d4d5,36
c6a5,f1d3,37
c7c6,d5d6,40
d8f6,d3e2,38
b6c5,b2b4,38
c5f2,e1f2,2
e2e4,g7g6,19
d2d3,d7d6,20
b1c3,g8f6,27
h2h3,f8g7,30
c1g5,e8g8,32
d1c1,e7e5,30
c3d5,b8d7,28
c1d2,c7c6,22
d5f6,g7f6,3
g5e3,d7c5,25
e3c5,d6c5,28
d2c3,c8e6,31
g1f3,d8c7,38
a2a4,b7b5,40
h3h4,b5b4,41
c3c5,f6e7,39
c5e5,e7d6,40
e5f6,e6g4,37
d3d4,g4f3,35
e4e5,d6e7,32
f6f3,c6c5,33
f1a6,a8b8,32
h4h5,g6g5,33
f3f5,c5d4,29
a6d3,f7f6,34
e2e4,g7g6,19
f1c4,d7d6,20
d1f3,g8f6,27
a2a4,f8g7,30
g1e2,e8g8,33
b1c3,e7e5,31
e1g1,b8c6,30
d2d3,c8g4,31
f3g3,h7h5,36
f2f3,g4e6,34
c4e6,f7e6,30
g3h3,d8e7,31
c1g5,e7e8,34
f3f4,e5f4,32
e2f4,e6e5,33
f4e6,f8f7,32
e6c7,f7c7,36
g5f6,g7f6,35
c3d5,c7f7,39
f1f6,c6d4,32
a1f1,d4e2,37
g1f2,e2f4,35
h3f3,f4d5,35
e4d5,e8e7,30
f2e2,a8f8,26
f6g6,g8h7,2
e2e4,g7g6,19
b1c3,d7d6,20
g1f3,g8f6,27
f1c4,f8g7,30
d2d4,e8g8,33
c1g5,h7h6,30
g5f6,g7f6,26
e4e5,d6e5,29
d4e5,f6g7,33
e1g1,b8c6,30
h2h3,c8f5,31
e5e6,f7e6,38
d1e2,c6d4,38
f3d4,d8d4,31
c4e6,f5e6,3
e2e6,g8h7,2
a1d1,d4f6,48
e6e4,a8d8,37
d1d8,f8d8,31
e4b7,f6d4,41
b7c7,g7f6,41
f1d1,d4d1,40
c3d1,d8d1,28
g1h2,f6b2,28
c7e7,b2g7,2
e7a7,d1d2,17
c2c4,h7g8,15
g2g3,g7d4,24
a7b8,g8f7,2
b8f4,f7g7,5
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
f8c5,d2d4,27
e5d4,c3d4,38
c5b4,b1c3,5
d7d5,e4e5,33
c8f5,f1d3,31
f5d3,d1d3,26
f7f6,e1g1,39
f6e5,d4e5,41
d8e7,c1g5,43
c6e5,f1e1,50
e5d3,g5e7,40
d3e1,a1e1,33
g8e7,c3d5,31
b4e1,d5c7,23
e8f7,c7a8,21
e1f2,g1f2,2
h8a8,f3e5,20
f7f6,e5d7,22
f6e6,d7c5,20
e6d5,c5b7,22
a8f8,f2g1,4
e7f5,b2b3,14
f5e3,b7a5,11
d2d4,g7g6,19
e2e4,d7d6,20
c2c4,g8f6,27
b1c3,f8g7,30
c1e3,b8a6,33
a2a3,b7b6,32
b2b4,c7c5,32
d4d5,e8g8,31
f1d3,e7e6,29
d1d2,e6e5,26
g1e2,c5b4,28
